epoch,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
1,40.98859241604805,34.739059150218964,90.66576099395752,52.27843201160431,32.06522944569588,28.884763926267624,100.12741994857788,47.727269887924194
2,8.78758054971695,10.15404948592186,55.800323128700256,28.835971772670746,10.42874825000763,12.900605112314224,63.90415334701538,25.591343760490417
3,8.036692887544632,10.715719014406204,49.799028277397156,25.771017253398895,7.2368325889110565,10.838102221488953,59.48936378955841,22.56158620119095
4,8.22763678431511,12.00244089961052,45.42097020149231,23.145710825920105,7.744110569357872,11.891258895397186,53.51924967765808,20.254351377487183
5,6.539795070886612,10.977933526039124,45.29125118255615,23.56847369670868,6.926114484667778,11.866562515497208,54.064077615737915,20.061880707740784
6,7.870643749833107,12.678628772497177,40.15115809440613,21.82064598798752,7.4539575427770615,12.889591306447983,48.52955448627472,17.737513184547424
7,6.252148821949959,11.383716434240341,37.793951869010925,20.524718642234802,6.132711350917816,11.76959839463234,47.93408513069153,17.445293724536896
8,6.890432208776474,12.216465443372726,37.65563082695007,19.66966062784195,6.096421793103218,12.542847126722336,44.06982898712158,16.83369678258896
9,6.9791127890348434,12.741671323776245,35.219650745391846,19.546862304210663,6.386229395866394,12.986642867326736,43.09259271621704,15.989964663982391
10,6.4890812784433365,12.142329394817352,34.77045202255249,19.362849235534668,6.633834332227707,13.053905636072159,42.77118110656738,15.741744995117188
11,6.639946773648262,12.022608548402786,30.908686637878418,17.254622280597687,6.2373848259449005,12.758962213993073,36.8522824048996,14.433385789394379
12,7.28438064455986,12.693455070257187,31.511144757270813,17.947840452194214,6.641636088490486,12.987611681222916,39.181461453437805,14.805669754743576
13,5.859162256121635,11.592078387737274,35.17602241039276,19.32026833295822,5.427032828330994,11.958180218935013,42.133426547050476,15.366521149873734
14,6.044484481215477,10.604940801858902,32.08481806516647,18.52567547559738,6.167704820632935,12.50508975982666,40.210073351860046,15.205669850111008
15,7.99805460870266,12.00853057205677,30.30377608537674,17.574699580669403,7.45388750731945,13.23002877831459,37.17790246009827,14.439653605222702
16,6.437520414590836,10.62023738026619,30.97195339202881,17.160951048135757,5.678015008568764,11.026598736643791,36.925796031951904,14.382848680019379
17,6.714293971657753,10.771933764219284,29.76030856370926,16.949278116226196,6.437466278672218,11.273557245731354,36.437145948410034,13.934877932071686
18,6.428882524371147,11.13928434252739,29.239576816558838,16.524945378303528,7.178886905312538,12.041209280490875,36.32763707637787,13.754873365163803
19,7.05560664832592,11.085444271564484,28.592655420303345,16.748919010162354,6.1638710498809814,10.763349324464798,37.2624876499176,13.583959966897964
20,6.844366371631622,10.871227607131004,31.436568796634674,17.407305359840393,6.431175068020821,10.924008220434189,38.462277591228485,14.21128237247467
21,7.264320895075798,10.419836014509201,27.93823790550232,16.22114571928978,7.425583764910698,11.016755193471909,35.575886249542236,13.018973559141159
22,6.204301029443741,12.289257973432541,40.28381681442261,20.522149473428726,6.28281182050705,12.8742336332798,50.115323066711426,17.36268699169159
23,6.370897024869919,13.227324157953262,31.48023408651352,18.23444312810898,5.580818235874176,11.93319657444954,40.74967157840729,14.079538494348526
