epoch,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
1,16.007875621318817,82.75011575222015,215.4206337928772,112.63383555412292,16.22922796010971,81.21524024009705,223.62064933776855,108.7675108909607
2,7.191331550478935,33.69955414533615,132.38520193099976,67.7475860118866,8.199663981795311,39.1419415473938,137.22895741462708,66.91477155685425
3,4.819245859980583,24.057080507278442,115.53986597061157,59.52538049221039,6.694687053561211,32.81977391242981,122.2551338672638,56.973411083221436
4,5.378051050007343,27.78418278694153,110.67745327949524,56.066961884498596,5.151714153587818,26.40088725090027,116.74352431297302,54.3212171792984
5,3.758471727371216,19.94894850254059,102.11630630493164,53.61075305938721,3.851694419980049,20.563483476638794,112.45205569267273,49.8001172542572
6,3.4995581582188606,18.222875714302063,100.12265110015869,51.45524859428406,3.747364290058613,19.31924557685852,109.11862468719482,48.57710886001587
7,5.00090929120779,24.26964870095253,98.55752849578857,49.2778445482254,3.9284567907452583,20.75449800491333,105.3286943435669,47.28153967857361
8,3.427450977265835,17.336425185203552,93.89603614807129,46.40281689167023,4.112355127930641,20.89776736497879,100.26176738739014,44.730665147304535
9,3.2449061796069145,16.605028748512268,90.96850395202637,44.20318555831909,3.330399677157402,17.98981338739395,96.50789093971252,42.71818208694458
10,4.7235675901174545,22.057172805070877,87.73937273025513,41.569198966026306,3.3479645997285843,17.575464606285095,91.31263065338135,41.02501583099365
11,3.2461235746741295,16.05773475766182,86.25671565532684,38.983603954315186,14.150643929839134,56.38263416290283,88.32466793060303,40.65679931640625
12,3.159658432006836,15.866002947092056,79.85092151165009,36.81207227706909,4.140759579837322,18.885240584611893,83.42508888244629,37.50194799900055
13,3.5394717156887054,16.56604990363121,75.62112808227539,34.67590534687042,3.2944887578487396,14.605803281068802,78.74510478973389,35.07512438297272
14,3.0599473640322685,14.80274873971939,71.72556400299072,32.8079349398613,3.1528917476534843,14.08426684141159,75.17693305015564,32.988887786865234
15,4.215876817703247,19.591268181800842,69.58918726444244,31.199743926525116,3.073178142309189,13.559516161680222,71.94889318943024,31.925417602062225
16,2.933745078742504,13.992304414510727,64.0139434337616,29.313342213630676,2.97063384950161,13.269151091575623,68.10739052295685,29.34801810979843
17,2.8116587921977043,13.776414781808853,61.68099355697632,28.13826036453247,2.8824017867445946,12.976017236709595,65.81770670413971,28.002652943134308
18,4.6189780086278915,21.43336609005928,58.62316560745239,27.43551856279373,2.8215750753879547,12.596178829669952,64.58680057525635,26.329586505889893
19,3.3686771169304848,15.26139885187149,59.166841983795166,25.67675358057022,2.8051090762019157,12.223592430353165,60.65832281112671,26.70979553461075
20,2.7591848000884056,13.077325314283371,57.28282368183136,24.537398040294647,2.7797163128852844,12.171034961938858,58.56762170791626,25.65385937690735
21,2.6369166150689125,12.719805985689163,54.13053297996521,24.155415177345276,3.4761152416467667,15.458986967802048,57.55699372291565,23.948330521583557
