epoch,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
1,62.05037423968315,67.05547425150871,278.63620924949646,125.95679664611816,55.4053151011467,53.611981600522995,255.4596884250641,134.1809961795807
2,25.191773489117622,31.78485158085823,226.2257878780365,100.72053557634354,24.1670510917902,30.5452698469162,216.11132621765137,106.675097823143
3,21.33693601191044,30.120092779397964,216.30910456180573,95.39637041091919,21.289976879954338,29.377031207084656,205.04708290100098,100.10643261671066
4,20.360069781541824,33.97812519967556,226.18550956249237,96.46666806936264,19.455741226673126,31.371970549225807,206.09522557258606,102.31209766864777
5,18.274986445903778,31.980005830526352,206.15218651294708,90.56757754087448,18.897118628025055,29.64377872645855,197.4140727519989,92.37027764320374
6,18.778615325689316,34.34967675805092,197.74196028709412,87.88334929943085,18.92958852648735,31.320776864886284,188.57117772102356,85.63570380210876
7,19.536712244153023,34.30681964755058,188.29744017124176,84.98985993862152,19.25519809126854,30.865022361278534,183.612886428833,81.33265471458435
8,18.23032435774803,34.21882198750973,184.00166070461273,82.68494951725006,20.14096623659134,31.53083084523678,179.02843248844147,80.83447426557541
9,18.425095230340958,34.86213991045952,184.891610622406,79.62187850475311,18.869202971458435,30.297750487923622,173.12350642681122,79.94505333900452
10,18.173469245433807,34.748269617557526,173.23430156707764,78.98167151212692,18.780707225203514,33.135833352804184,168.58940851688385,74.46468740701675
11,16.68976992368698,33.544739082455635,177.1176792383194,77.61557179689407,18.415426954627037,33.15422959625721,167.9505650997162,76.45691496133804
12,18.322831340134144,33.882003247737885,176.24101984500885,75.49807381629944,18.47404021769762,33.10046845674515,165.40250027179718,74.73272585868835
13,17.655223228037357,34.37454703450203,165.36788773536682,74.97409683465958,20.81627932190895,34.257026851177216,165.81493186950684,71.44379758834839
14,18.293324388563633,34.486134365200996,161.40855884552002,72.89753550291061,16.45037753880024,31.446958616375923,158.86577141284943,70.82032376527786
15,17.4196847230196,34.88598644733429,162.70897126197815,72.85871118307114,18.245300330221653,33.22181183099747,154.79287123680115,69.39233958721161
16,17.399224154651165,31.922052338719368,155.3583254814148,72.13398402929306,18.15967644751072,32.41985447704792,155.43979942798615,67.58240729570389
17,16.549048729240894,32.18772013485432,160.97873389720917,70.8602991104126,17.43193629384041,33.51863740384579,149.89213740825653,69.57399314641953
18,18.386532232165337,31.539117973297834,151.7886105775833,70.14837545156479,18.230334892868996,32.774411268532276,151.01109564304352,67.33147087693214
19,17.140795581042767,29.914585635066032,155.77440404891968,68.39861398935318,16.886921726167202,34.465370893478394,146.40866041183472,67.20356184244156
20,17.568244218826294,29.092819660902023,149.6473937034607,68.59606665372849,17.992927953600883,34.833937019109726,145.34372472763062,65.4053840637207
21,18.002847388386726,29.174988001585007,156.15818405151367,65.92869466543198,17.313676811754704,33.42000140249729,141.29269325733185,68.57890224456787
22,17.412059605121613,27.571012660861015,148.04316461086273,65.85471558570862,17.177494138479233,33.19999495148659,140.4250020980835,65.7560866177082
23,16.642270281910896,29.740277968347073,148.73084545135498,65.01530057191849,16.769368544220924,35.18094742298126,139.92901289463043,64.17703944444656
24,16.217269584536552,30.40242265164852,155.07810080051422,66.36666291952133,15.73467968404293,34.35088047385216,141.7889723777771,67.98581612110138
25,17.846962593495846,28.779596224427223,146.82375311851501,65.36784595251083,16.023200146853924,31.62012818455696,139.28294146060944,65.54953077435493
26,16.487835235893726,29.712575644254684,146.19095754623413,63.630495429039,16.964699044823647,34.05973311141133,135.28882718086243,65.54113930463791
27,17.14086377620697,27.53622454404831,152.7025101184845,64.99427962303162,16.41992498189211,32.14182934165001,140.22926902770996,66.34224665164948
28,16.915922194719315,28.30341250449419,143.60034775733948,63.78724229335785,15.964342579245567,30.92625244706869,135.25176787376404,64.94508749246597
29,16.90627133846283,29.03997080773115,148.68154108524323,65.5724025964737,16.5149010643363,32.753998048603535,141.56076908111572,64.48640984296799
30,16.013825841248035,29.048437386751175,142.86312627792358,63.16956955194473,15.98484556376934,34.995963752269745,135.64558005332947,62.597839921712875
31,15.851743251085281,28.185759246349335,133.0335065126419,61.39048796892166,16.33813739567995,30.766872197389603,131.62207174301147,58.73740738630295
32,16.433539666235447,28.140773564577103,138.41573083400726,61.09115743637085,16.467287845909595,29.581581510603428,133.30061602592468,60.22302111983299
33,16.500285118818283,28.94124859571457,140.1420841217041,60.81308335065842,16.24234290421009,30.24939402937889,129.38289654254913,63.337962090969086
34,15.985254041850567,29.039672002196312,147.24822282791138,61.46729516983032,16.670285411179066,32.1705539226532,129.24647390842438,64.89598372578621
35,16.107732854783535,28.655080668628216,139.35692024230957,59.854219019412994,16.298373766243458,32.45197527855635,128.86062932014465,62.24702870845795
36,16.610369727015495,28.870072044432163,135.01720130443573,58.68259745836258,16.20280049741268,29.017842270433903,127.16898798942566,60.71663439273834
37,16.658698990941048,27.430270336568356,127.52386116981506,59.40092325210571,16.797087661921978,29.444910176098347,127.97699546813965,57.53474044799805
38,15.529122106730938,28.699624679982662,134.864816904068,59.756971061229706,15.567010894417763,30.710547000169754,128.25803589820862,59.761846125125885
39,15.610067687928677,28.32695746421814,130.69558423757553,58.60905921459198,16.73873370885849,31.357304736971855,124.46085667610168,57.771246165037155
40,15.691892489790916,30.683523006737232,128.79477006196976,58.7784538269043,16.89263940602541,30.199234806001186,123.98808372020721,58.023925483226776
41,14.981698378920555,30.48538015037775,136.5377447605133,58.26547598838806,15.342930883169174,32.268215999007225,126.27666068077087,58.87174537777901
42,15.303690705448389,28.029124028980732,132.84282463788986,57.321741223335266,16.711040325462818,31.187316700816154,123.40750288963318,58.48799192905426
43,16.34115246683359,28.357129629701376,125.30479419231415,56.533071398735046,16.77807356417179,30.437782406806946,121.55570209026337,56.19287437200546
44,16.108006171882153,28.39100108295679,126.35746043920517,57.40668362379074,16.388862155377865,29.326441057026386,125.12637686729431,57.06444716453552
45,14.93979337066412,27.428072929382324,128.9235692024231,56.83722597360611,16.358887657523155,31.53240092843771,122.40794467926025,58.53793904185295
