epoch,D_A,G_A,cycle_A,idt_A,pred_A,D_B,G_B,cycle_B,idt_B,pred_B
1,195.0825173854828,165.72900092601776,205.04099428653717,0.0,160.10234451293945,209.34729804098606,152.76342272758484,277.20361399650574,0.0,246.93208479881287
2,118.8459047973156,100.46829867362976,132.8696666955948,0.0,80.66396605968475,97.10950374603271,137.73658621311188,234.69152522087097,0.0,180.27797377109528
3,82.44528685510159,71.53177267313004,105.04367804527283,0.0,66.701635658741,74.44078560173512,115.65958404541016,221.25737929344177,0.0,159.27461791038513
4,76.29181045293808,65.12772566080093,88.85163313150406,0.0,60.25483191013336,62.34721413254738,100.33472490310669,208.64582180976868,0.0,150.33532655239105
5,65.72331102192402,76.75445139408112,138.21635150909424,0.0,55.24369341135025,59.705394580960274,106.10034370422363,208.73849987983704,0.0,145.9407261610031
6,64.2298383563757,83.67833471298218,128.1412239074707,0.0,56.798747181892395,67.66939467191696,115.77966463565826,215.45508980751038,0.0,142.56741738319397
7,65.13789409399033,73.88322496414185,97.2065681219101,0.0,47.716995656490326,48.633355259895325,98.82542991638184,198.0610225200653,0.0,140.07209050655365
8,63.33702903985977,81.35261744260788,96.7366931438446,0.0,44.980638951063156,50.573175862431526,105.16130745410919,193.0770697593689,0.0,137.1256445646286
9,61.244983181357384,76.62808519601822,88.40181815624237,0.0,44.55568462610245,53.34446918964386,113.70353829860687,197.4219937324524,0.0,135.9727429151535
10,66.5973494052887,88.85704189538956,108.92666691541672,0.0,50.41776683926582,167.34928886592388,171.1831951737404,202.3422303199768,0.0,134.10792756080627
11,58.984798431396484,74.57760405540466,75.91495180130005,0.0,40.57491332292557,59.66935805976391,59.3057564496994,182.81299233436584,0.0,132.70851016044617
12,60.33331969380379,76.76351255178452,71.95500254631042,0.0,39.60417830944061,58.29901069402695,60.7190927863121,175.1958692073822,0.0,130.78388798236847
13,58.430960685014725,85.47440350055695,73.67773753404617,0.0,37.899315267801285,58.461465716362,63.44334149360657,171.69918298721313,0.0,130.79447829723358
14,55.43876574933529,96.5438212454319,112.40309476852417,0.0,37.50730773806572,59.04479005932808,66.93592554330826,177.90397930145264,0.0,132.28665602207184
15,55.77788493782282,91.83851683139801,70.23145061731339,0.0,36.19068884849548,59.26282952725887,67.33028787374496,170.41451621055603,0.0,129.99492502212524
16,57.35590151697397,101.47389096021652,73.31643003225327,0.0,36.31852772831917,59.577319890260696,74.64997881650925,173.98424243927002,0.0,129.516947388649
17,46.867204420268536,99.84211766719818,99.24125504493713,0.0,35.680789679288864,56.162445440888405,73.20545363426208,175.11735725402832,0.0,131.13607478141785
18,43.64002888649702,104.14962142705917,116.3164279460907,0.0,36.48699587583542,54.54823188483715,81.56359267234802,176.58098220825195,0.0,132.15941035747528
19,39.878987573087215,106.7254803776741,133.6463520526886,0.0,36.83441203832626,53.67775659263134,87.05446660518646,180.78698182106018,0.0,131.6316270828247
20,39.97589071840048,116.29407924413681,96.22623038291931,0.0,35.50270998477936,54.90584632754326,85.86394941806793,178.26562643051147,0.0,131.43668472766876
21,42.93665489554405,104.35414430499077,82.40522086620331,0.0,34.70694363117218,56.02608346939087,84.2548840045929,172.05244326591492,0.0,131.54889714717865
22,42.69659873843193,109.08581972122192,76.22160512208939,0.0,34.513650596141815,55.01499596238136,85.0760897397995,168.48630952835083,0.0,131.37480759620667
23,44.515346720814705,98.54166674613953,65.03709250688553,0.0,33.647850543260574,53.76671966910362,84.28261232376099,163.61871767044067,0.0,130.06719934940338
24,43.345381543040276,97.06594932079315,63.14134043455124,0.0,33.407093942165375,56.123013123869896,87.17847752571106,162.5500419139862,0.0,130.22625994682312
25,42.2130044400692,96.56393247842789,61.57196128368378,0.0,33.10006666183472,54.54393391311169,84.94826471805573,161.64768195152283,0.0,130.47092521190643
26,36.67804332822561,112.08862513303757,91.23026430606842,0.0,33.36185923218727,53.038028851151466,95.93793499469757,166.80956768989563,0.0,131.1143023967743
27,35.414904188364744,117.7486321926117,66.2347264289856,0.0,32.57214739918709,51.360559821128845,89.63098287582397,162.53391408920288,0.0,130.173930644989
28,43.983253970742226,120.39020156860352,88.95777022838593,0.0,33.21638381481171,52.7232556194067,99.74441432952881,167.72074389457703,0.0,133.18607103824615
29,27.79244603589177,122.74456346035004,93.87913185358047,0.0,36.134271651506424,50.50672936439514,104.28614342212677,183.19167041778564,0.0,132.0970423221588
30,33.65949868038297,120.37091368436813,79.67704111337662,0.0,34.28131249547005,42.606468953192234,108.88367736339569,182.31048965454102,0.0,131.29920983314514
31,35.64854388684034,118.73411944508553,68.96767795085907,0.0,33.039939135313034,48.60380540788174,106.92512929439545,165.03473591804504,0.0,130.54632544517517
32,31.655740335583687,116.74584996700287,63.62243294715881,0.0,32.5034501850605,47.99807903915644,101.48663818836212,161.61025023460388,0.0,130.14969897270203
33,35.30707078427076,101.46234440803528,61.22234880924225,0.0,32.32254910469055,48.41037378460169,102.440878033638,158.5409209728241,0.0,128.9019011259079
34,26.864516481757164,116.23718202114105,79.95248955488205,0.0,33.678002655506134,50.360708236694336,108.28248381614685,168.82383847236633,0.0,132.8667438030243
35,123.80561048910022,179.77243721485138,81.13133651018143,0.0,33.740636974573135,39.511510737240314,119.31849443912506,168.75881361961365,0.0,131.0591322183609
36,67.0039234906435,59.35811299085617,62.066614985466,0.0,32.37344780564308,43.525298446416855,113.38496959209442,159.77771663665771,0.0,126.64163494110107
37,60.20353217422962,56.20551383495331,54.844056725502014,0.0,32.23792392015457,48.57903175055981,105.45211625099182,157.5307641029358,0.0,126.44784283638
38,57.422924160957336,58.22778904438019,52.77981740236282,0.0,31.45179170370102,42.970001213252544,108.6908802986145,153.50742745399475,0.0,125.02166283130646
39,50.583592399954796,69.9694727063179,56.435702323913574,0.0,31.4549577832222,44.60154131054878,107.02690637111664,154.66477513313293,0.0,126.58398497104645
40,40.62693452835083,92.31268835067749,56.98409342765808,0.0,31.23554441332817,43.11848299950361,108.3808913230896,155.01349461078644,0.0,126.39577221870422
41,33.35627977922559,104.86743676662445,64.16625648736954,0.0,31.159937739372253,50.24648976325989,108.34182643890381,156.3760701417923,0.0,126.88794612884521
42,25.462054569274187,112.47255218029022,60.48665124177933,0.0,33.15445336699486,42.94945829361677,109.98229444026947,157.6060016155243,0.0,127.66908550262451
43,43.63265527039766,101.80339363217354,69.76103776693344,0.0,33.946547627449036,113.69721288233995,130.4179021716118,163.72486865520477,0.0,127.51338338851929
44,31.50843407586217,96.95807707309723,60.48592358827591,0.0,30.769290417432785,52.093738824129105,69.24560064077377,152.30315685272217,0.0,127.34131908416748
45,38.81711406633258,93.89026476442814,56.84539043903351,0.0,30.308770567178726,46.73193110525608,82.81374394893646,152.84013330936432,0.0,126.07589817047119
46,25.1446797773242,115.42711937427521,85.83500361442566,0.0,30.54377242922783,41.72441779077053,98.65372383594513,157.8041876554489,0.0,129.09893596172333
47,18.02504164725542,142.8740154504776,98.35626685619354,0.0,33.62257108092308,35.267053596675396,118.09213519096375,177.4932942390442,0.0,129.64383947849274
