epoch,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
1,43.301978677511215,40.817002326250076,109.09851932525635,60.34699261188507,42.46339252591133,34.34451162815094,126.6558244228363,51.7120680809021
2,13.112655475735664,16.950262129306793,69.94815254211426,44.03032445907593,11.417345076799393,15.905120253562927,98.65816903114319,31.813170433044434
3,8.889828130602837,13.768777757883072,63.42224597930908,38.7452175617218,10.72908066213131,16.866207391023636,87.92833054065704,28.367757081985474
4,9.622354716062546,15.737847805023193,57.04209840297699,36.26328104734421,9.279762238264084,16.893041908740997,81.56588208675385,25.656090438365936
5,8.992315083742142,15.921447396278381,59.72766947746277,36.31228655576706,8.772655606269836,17.541157692670822,84.7535171508789,26.827254235744476
6,8.782625272870064,15.726823329925537,52.48440062999725,34.33073455095291,8.950315937399864,18.531005203723907,77.1791033744812,23.493855953216553
7,9.62643475830555,17.358265817165375,46.842840135097504,31.774613916873932,8.130039259791374,18.649600625038147,70.13447308540344,21.16202536225319
8,8.267627850174904,16.631134867668152,48.58306121826172,33.09054630994797,7.862601608037949,18.186889082193375,73.06608259677887,21.721279203891754
9,8.692334547638893,16.722239434719086,45.05730789899826,30.20939439535141,8.522054240107536,18.880485862493515,67.68256855010986,20.46020406484604
10,9.20166189968586,17.264530032873154,42.019508957862854,29.474810659885406,9.20589566230774,18.72595325112343,65.17575192451477,19.693719267845154
11,8.24574963748455,15.115754693746567,41.67587649822235,28.94698256254196,8.382386073470116,16.045889914035797,64.3121428489685,19.6885204911232
12,9.278205052018166,16.931035608053207,40.78282052278519,28.975281894207,8.234982624650002,16.24152246117592,63.8578097820282,18.97928762435913
13,7.93522883951664,15.00693455338478,40.60461610555649,29.535233676433563,8.604957848787308,16.761348962783813,63.21752870082855,18.264526546001434
14,11.558687776327133,19.487590342760086,41.83005493879318,29.112847089767456,9.454444348812103,17.981017649173737,64.85941648483276,19.15518793463707
15,7.804441928863525,14.123223453760147,38.835072100162506,27.69497185945511,9.353477254509926,17.521442234516144,60.60070276260376,17.742070972919464
16,7.709312602877617,14.70152634382248,39.640250504016876,28.697611212730408,7.445200756192207,15.919052511453629,63.428945422172546,18.228000938892365
17,8.7035081833601,15.487863719463348,35.92220842838287,27.161979615688324,8.546395510435104,16.43846043944359,60.09614026546478,16.547802835702896
18,8.022062197327614,14.970757186412811,36.48565095663071,27.00167089700699,8.730868250131607,16.361736118793488,59.11239695549011,16.436662793159485
19,9.772769257426262,16.267484039068222,35.91506952047348,26.195999920368195,11.136369049549103,17.974915146827698,55.982945561409,16.53762176632881
20,9.188159227371216,15.490017414093018,36.47132325172424,27.120632529258728,7.719375059008598,14.63220876455307,58.208858013153076,16.113529205322266
21,8.09073968231678,14.307462841272354,35.61013221740723,26.045650124549866,8.14277671277523,15.455849289894104,57.54689383506775,15.731769263744354
22,9.097475752234459,15.397709012031555,35.31097710132599,25.64605337381363,8.574215307831764,16.140655368566513,57.16486299037933,15.838604122400284
23,8.517105549573898,14.77797682583332,33.299249827861786,25.435434222221375,8.935310274362564,15.935708969831467,54.580780029296875,14.93103489279747
24,9.061878561973572,18.523169606924057,45.4961177110672,31.216947555541992,7.56474944204092,17.48596543073654,70.37496936321259,17.92887407541275
25,7.300491824746132,17.44151532649994,35.54277002811432,27.04237526655197,8.535702764987946,16.603791117668152,59.81416964530945,15.369272500276566
26,8.356666669249535,17.430319368839264,35.89557337760925,27.274872064590454,8.703195482492447,17.823264747858047,59.99142229557037,15.489975154399872
27,7.892467424273491,16.12010496854782,33.84353458881378,24.973505318164825,7.834038123488426,15.972663551568985,54.01790952682495,15.066079080104828
28,8.3499486297369,16.14859849214554,32.164689004421234,24.108578205108643,16.044446766376495,19.626975268125534,51.26059913635254,14.03151023387909
29,8.596653088927269,16.08855774998665,34.32016384601593,24.66739296913147,7.845183730125427,13.465343326330185,54.12024211883545,14.442738145589828
30,8.36787685751915,15.77621614933014,33.00303226709366,24.63371706008911,7.687972843647003,15.273953646421432,52.86408829689026,13.970167517662048
31,9.265844106674194,16.25280201435089,31.00140416622162,23.087269484996796,8.224735170602798,15.837050050497055,49.69055986404419,13.458635061979294
32,7.463452599942684,16.807221174240112,34.92490220069885,26.02778798341751,7.755213305354118,17.140410840511322,56.66999816894531,14.028559476137161
33,10.80783797800541,20.195265978574753,35.84868425130844,25.60756143927574,7.533615529537201,16.494594514369965,56.45989763736725,14.985325634479523
34,7.585091024637222,13.859340637922287,32.589239835739136,25.0543732047081,9.096209481358528,18.228237628936768,55.976065158843994,14.169310212135315
35,7.393654257059097,15.886614292860031,31.45280283689499,23.83203810453415,7.641091659665108,16.670600190758705,52.225356221199036,13.377278745174408
36,7.146707162261009,18.02667209506035,32.49587666988373,23.355014324188232,7.419002830982208,18.180714935064316,51.89895188808441,13.829554557800293
37,7.519058793783188,18.04260104894638,30.50468999147415,22.48689365386963,10.984346479177475,14.726660132408142,48.82732057571411,12.845826923847198
38,8.525455698370934,17.832507133483887,30.48952031135559,22.41713297367096,8.008906289935112,14.384683549404144,49.1419312953949,13.336937069892883
39,8.277067370712757,20.42575576901436,32.877118706703186,23.884828209877014,7.166473463177681,17.612313225865364,54.280234813690186,13.762667208909988
40,6.161550685763359,17.657003164291382,29.741473138332367,22.075514763593674,8.596176192164421,17.86665838956833,48.578439831733704,12.854992181062698
41,7.541785895824432,19.24874345958233,30.167892456054688,22.108720511198044,7.318575896322727,17.567341685295105,47.69846165180206,12.661767661571503
42,6.909960605204105,19.435765475034714,31.03569531440735,22.878559678792953,9.111232951283455,17.63820068538189,50.77995765209198,12.92227703332901
43,6.9137043207883835,20.647394567728043,31.069470405578613,22.72420436143875,7.34346316754818,18.103957176208496,50.257012367248535,12.823338091373444
44,6.650212287902832,19.59705327451229,30.39370846748352,22.100991517305374,7.438832834362984,16.969326466321945,48.5926593542099,12.810230821371078
45,12.936635687947273,18.334561243653297,29.617953062057495,21.704597145318985,8.080980509519577,15.68615597486496,48.94857269525528,12.839267581701279
46,6.365998484194279,15.408900618553162,29.98529279232025,21.069481313228607,8.249963276088238,19.28034420311451,48.14227348566055,12.70382809638977
47,6.28018905967474,19.18313765525818,29.650793969631195,21.521094620227814,7.616265684366226,17.571559354662895,47.51139450073242,12.331532165408134
48,5.431582264602184,21.070537477731705,30.93535578250885,22.52226847410202,7.5248007401824,18.655659392476082,50.58174556493759,12.680190399289131
49,6.966003865003586,19.64798790216446,30.15605717897415,21.79431188106537,7.652306646108627,18.694928467273712,47.63063955307007,12.386399522423744
50,5.4110535234212875,20.501422375440598,33.40641713142395,22.94619008898735,24.669770300388336,26.665706545114517,53.00319290161133,14.1296326816082
51,7.274656407535076,17.797283433377743,28.124754428863525,20.652331322431564,9.320858016610146,10.372152477502823,43.790986359119415,11.752558395266533
52,6.0976512879133224,19.608692318201065,27.600967824459076,20.31081447005272,9.255999222397804,10.379099905490875,43.40024197101593,11.46027386188507
53,6.992136798799038,18.633090637624264,28.946005523204803,21.075786381959915,9.133523315191269,10.448270216584206,45.3894447684288,12.049503415822983
54,7.589653700590134,17.44203709065914,27.482045710086823,19.767885088920593,9.1311654150486,10.536715716123581,42.24396777153015,11.578287452459335
55,7.561724618077278,19.366657719016075,28.739113867282867,20.426160126924515,9.19280056655407,10.83458136022091,44.18746989965439,11.679125428199768
56,6.5554671213030815,17.74431584775448,27.504526436328888,19.484630525112152,9.207020327448845,11.02340680360794,42.871333837509155,11.710518330335617
57,7.426419533789158,18.18708997964859,27.247454404830933,19.554752498865128,9.320640236139297,11.28914612531662,41.589156806468964,11.156064078211784
58,7.02791927754879,18.938828736543655,28.051328003406525,19.96748572587967,9.569747045636177,11.741594940423965,42.915975630283356,11.380869388580322
59,6.493807718157768,17.1417173743248,27.139521777629852,18.71590292453766,9.115356877446175,11.612086325883865,40.5280122756958,11.019962638616562
60,6.879306487739086,19.071637615561485,28.205236434936523,19.47147634625435,9.074178963899612,11.93461549282074,42.4792805314064,11.687475234270096
61,7.745545640587807,16.798453092575073,27.446439564228058,20.076197683811188,9.335603326559067,12.438920855522156,43.49005287885666,11.194649785757065
62,6.889643386006355,18.761740788817406,28.63865041732788,19.963854640722275,9.280727505683899,12.567952573299408,43.98544663190842,11.619259893894196
63,7.402330979704857,18.63761341944337,26.42542201280594,19.01926216483116,9.008116737008095,12.477891743183136,41.050306141376495,10.796783849596977
64,7.782694444060326,16.05170677602291,27.16552495956421,18.757564038038254,9.412605673074722,13.073461294174194,41.83431923389435,11.119429245591164
65,7.194069653749466,18.01243282854557,26.956318855285645,19.555247753858566,9.004407092928886,12.761048913002014,42.23843616247177,10.898976236581802
66,6.535651154816151,17.901748970150948,28.051225662231445,19.27030298113823,8.781277865171432,13.115501403808594,41.844667196273804,10.975376904010773
67,8.431550770998001,17.625255972146988,26.94236195087433,18.866992950439453,8.92574554681778,13.719075739383698,40.935596227645874,11.008365660905838
68,7.420580357313156,17.282833844423294,28.126111447811127,18.47553038597107,8.670551747083664,13.8838429749012,41.36327940225601,10.942817941308022
69,6.742832571268082,16.88633055984974,27.715686440467834,18.760764688253403,9.689471617341042,14.539661020040512,42.095708191394806,11.19268137216568
70,7.646213978528976,17.68846970796585,28.802981317043304,18.416899412870407,8.032895237207413,14.692574232816696,43.721573889255524,11.79172420501709
71,7.4933968633413315,15.80027425289154,26.556634724140167,17.993509709835052,8.858355194330215,14.528178721666336,41.16162008047104,10.791780024766922
72,7.809099480509758,17.091464713215828,26.600111484527588,18.431843012571335,8.944212973117828,14.763990983366966,40.98642647266388,10.720197781920433
73,7.384304776787758,17.52826915681362,27.14215797185898,18.728410184383392,8.531762585043907,15.68050192296505,42.867219030857086,10.88994637131691
74,16.589103773236275,24.26427560299635,26.6983180642128,18.139257609844208,8.068781435489655,15.751797199249268,41.02467054128647,10.95669473707676
75,9.049730017781258,10.849614813923836,25.49895489215851,18.183623492717743,8.485860720276833,16.559993654489517,41.298998296260834,10.5934147387743
76,8.401292309165001,11.74565914273262,25.07484894990921,17.022380769252777,8.148159831762314,16.14973556995392,38.98338204622269,10.503900095820427
77,8.00145810842514,13.366716906428337,25.256758093833923,17.206370323896408,8.233652755618095,15.934644967317581,39.1312609910965,10.389309287071228
78,7.004124283790588,15.091177880764008,25.99852603673935,17.713245660066605,9.036538928747177,16.676351010799408,40.22438073158264,10.602210506796837
79,6.769983850419521,16.343844667077065,28.069672107696533,18.15966361761093,7.24927718937397,16.930552795529366,43.02250349521637,10.87942549586296
80,7.236478880047798,16.437429293990135,26.255565583705902,17.405242413282394,7.717689365148544,16.310753136873245,39.1613883972168,10.524953335523605
81,7.668033763766289,17.829110711812973,26.25817722082138,17.16268515586853,8.045122563838959,17.09454868733883,40.151731967926025,10.530231416225433
82,8.654920533299446,12.37377704679966,24.922048151493073,16.602814078330994,9.025108277797699,17.351287335157394,38.262284100055695,10.165032625198364
83,7.356106556952,15.712374925613403,26.020170509815216,17.443699330091476,7.162281826138496,16.545068502426147,40.27994507551193,10.412493377923965
84,7.429936558008194,16.831254296004772,25.666432976722717,16.78116723895073,8.225201770663261,17.32897351682186,38.74925750494003,10.506239965558052
