epoch,D_A,G_A,cycle_A,idt_A,pred_A,D_B,G_B,cycle_B,idt_B,pred_B
1,553.237974345684,441.1788060069084,957.8087354898453,0.0,696.4180444478989,555.105064406991,462.79882007837296,1205.625018119812,0.0,978.6786813735962
2,345.8323725759983,284.6167725920677,711.350797533989,0.0,526.3257257938385,331.0028388798237,319.83575397729874,1050.0747134685516,0.0,855.7842271327972
3,331.9884912520647,296.6433993577957,666.3945910930634,0.0,508.0336060523987,321.3881188631058,337.2578467130661,1018.5591466426849,0.0,836.652911901474
4,308.1047847867012,325.51334512233734,666.1588541269302,0.0,498.8158915042877,307.43031245470047,346.4444701075554,1008.945761680603,0.0,836.89996945858
5,341.51921321451664,360.05737352371216,668.9984780550003,0.0,495.5012400150299,292.5991619080305,371.7613977789879,1009.9537971019745,0.0,837.2504223585129
6,266.6837307587266,324.8737804591656,623.1848013401031,0.0,494.8276128768921,290.3254946023226,401.5351007580757,991.9395658969879,0.0,843.9015262126923
7,251.0039025992155,352.2824057042599,678.6282613277435,0.0,497.93999195098877,423.83799832314253,503.0559591948986,1011.0262479782104,0.0,841.9623416662216
8,241.32604420930147,340.439424008131,663.5918333530426,0.0,486.34686410427094,319.59998945891857,267.00750207901,1010.5599820613861,0.0,839.8393998146057
9,240.3844630792737,325.12431685626507,581.8050963878632,0.0,478.78543269634247,325.9445849657059,266.9126769900322,961.5569162368774,0.0,827.5619735717773
