epoch,G_GAN,G_L1,D_real,D_fake
1,14.921235144138336,612.1195869445801,13.93752807378769,13.450883507728577
2,14.889650762081146,536.8697242736816,11.43708610534668,11.32153433561325
3,17.656872987747192,511.8750762939453,11.09976378083229,10.524769276380539
4,27.340731382369995,505.7361602783203,6.096918687224388,5.850956320762634
5,40.14272403717041,489.4850654602051,4.275210186839104,4.481459476053715
6,22.000597089529037,498.71710205078125,10.51581571251154,10.013161018490791
7,23.436431646347046,492.3681411743164,8.001902237534523,7.755870029330254
8,33.379106283187866,481.16613960266113,5.42303766310215,4.9282854571938515
9,35.450432896614075,481.6875400543213,7.033958695828915,6.752430267632008
10,37.01417899131775,487.30287170410156,4.680421322584152,4.573048949241638
11,34.154135942459106,481.34301376342773,6.031954810023308,5.175380080938339
12,33.07955712080002,488.5984230041504,5.400914378464222,5.5758770406246185
13,33.58399164676666,486.0668487548828,5.811077259480953,6.12533862143755
14,34.36665806174278,485.66296195983887,4.845605656504631,4.999815300107002
15,32.18920284509659,481.23515129089355,5.750640772283077,5.438035927712917
16,32.36614575982094,479.7082233428955,5.9402772188186646,6.426330748945475
17,31.225555777549744,482.47119903564453,7.787725120782852,6.098801039159298
18,29.043131053447723,469.68187713623047,6.5420727245509624,6.207263521850109
19,34.10490256547928,473.3045310974121,5.883319273591042,6.043872177600861
20,30.16004317998886,471.98255729675293,7.430471517145634,6.279923990368843
21,31.382303297519684,475.2112617492676,6.428507409989834,6.393426764756441
22,30.633696377277374,474.95886993408203,6.4487429559230804,6.249791748821735
23,31.669759690761566,464.5570869445801,7.0494470447301865,6.326918967068195
24,29.406456410884857,465.3902778625488,8.424997493624687,6.949701379984617
25,33.49629516899586,463.79480934143066,5.216652117669582,7.361432857811451
26,31.100694060325623,457.87140464782715,8.937495402991772,6.171605497598648
27,28.80618941783905,463.3647975921631,6.405914407223463,6.420586779713631
28,32.76944613456726,459.58821868896484,5.958939805626869,6.579587049782276
