epoch,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
1,79.25536984205246,91.10725528001785,339.949503660202,207.20423996448517,72.87708620727062,86.88827821612358,456.3414841890335,156.36677134037018
2,40.87761668860912,73.43545740842819,227.39066356420517,147.77445328235626,39.39999960362911,74.97555494308472,331.4839435815811,101.56845340132713
3,38.58831100165844,72.86046388745308,190.25956678390503,130.49590462446213,37.678872898221016,79.0940258204937,290.36940121650696,83.72481003403664
4,39.520321145653725,70.02903127670288,171.1494498848915,117.83176356554031,37.23188303411007,78.33192133903503,264.3017040491104,75.18744149804115
5,40.07843950390816,65.48627731204033,167.0508434176445,115.29840850830078,38.26393540203571,75.57083055377007,262.8980402946472,73.1233916580677
6,40.521674424409866,62.032411366701126,150.6076626777649,106.173035800457,38.905124455690384,75.7646392583847,242.13174617290497,65.05164706707001
7,40.63793604075909,64.80064591765404,149.2506023645401,102.70685777068138,37.424408599734306,74.58716709911823,235.56127619743347,63.16041895747185
8,40.41371937096119,65.36161276698112,143.5329794883728,98.95960634946823,36.92180509865284,77.83548140525818,228.00364458560944,59.56179562211037
9,37.366433158516884,68.43894353508949,133.0744287967682,93.92667263746262,35.9298130646348,78.41262559592724,217.65750461816788,55.64078003168106
10,35.858290784060955,84.25424510240555,134.03235870599747,93.12503027915955,35.010338224470615,80.57598927617073,213.26874327659607,55.252667993307114
11,32.32347872853279,78.13679572194815,132.16223418712616,90.67883452773094,37.57810931652784,72.70429357886314,208.066160261631,53.43981470167637
12,52.28844033181667,83.44171686470509,130.59485810995102,89.27716729044914,33.21045880764723,78.90359085798264,206.25843209028244,53.41634473204613
13,40.70637610554695,46.96953855454922,113.37539428472519,79.60353636741638,35.870817735791206,76.29728458821774,185.736831843853,48.18869751691818
14,39.75223556160927,52.94533896446228,111.0949285030365,77.91093921661377,37.68058659136295,70.86920526623726,183.642493724823,46.764037147164345
15,35.09694929420948,69.68312348425388,115.14001303911209,79.23689204454422,35.65091481804848,71.13502350449562,183.99240505695343,46.72035065293312
16,36.20969948917627,65.30512640625238,117.52093523740768,80.51860082149506,36.23594316095114,75.94580309092999,189.03819566965103,47.478894501924515
17,36.75561626255512,63.5217829272151,113.08127456903458,76.71630755066872,38.90515433251858,75.0835542678833,181.6805917620659,44.84988270699978
18,35.81215465068817,69.28529896587133,115.06901603937149,77.1504438817501,33.25075247883797,69.96081487834454,179.66842871904373,44.63995870947838
19,35.530290111899376,67.33339037001133,112.90771919488907,76.9487279355526,34.54018950462341,76.3558946698904,181.66303461790085,44.60870458185673
20,38.113625168800354,63.778691202402115,109.78645128011703,74.2122871875763,34.295831725001335,75.72911037504673,177.17048078775406,43.25422216951847
21,34.59771467745304,64.85480128228664,110.30027335882187,75.1525331735611,34.275456950068474,73.58488803356886,177.8212732076645,42.731311321258545
22,36.490730568766594,62.83871704339981,107.06119164824486,72.85839274525642,35.99868717044592,72.19382984936237,173.2509834766388,41.72651383280754
23,35.57795449346304,64.14004756510258,107.32875269651413,71.83235475420952,34.30177506059408,74.47645073384047,172.35880780220032,41.15210172533989
24,35.359462320804596,66.01928738504648,108.22999966144562,72.01630672812462,34.488915756344795,74.70041574165225,173.6941750049591,41.45502749085426
25,35.00890301167965,66.76700023561716,110.44244304299355,72.18286153674126,33.64833252131939,75.25516380369663,176.8287616968155,42.53339545428753
26,35.407550409436226,64.90751623362303,104.873564183712,70.019960552454,32.59538736194372,77.63857931643724,169.59763950109482,39.947436794638634
27,39.02647863328457,59.77458963543177,99.72668528556824,66.66294994950294,32.450011283159256,77.26767761260271,162.36091643571854,38.75388020277023
28,36.04195101559162,61.449731916189194,103.22463458776474,68.1081793308258,33.66256137192249,75.21407715976238,167.4546690583229,39.36110509932041
29,40.748789578676224,56.07517667859793,98.27442786097527,65.35506519675255,33.80324653536081,77.74565927684307,164.12497687339783,38.32298570871353
30,36.069913402199745,60.14123849198222,97.62951016426086,64.35364335775375,33.3583419919014,72.28127178549767,158.81045162677765,37.589660719037056
31,34.08176538348198,66.19820156693459,102.66513645648956,66.55630466341972,33.824447728693485,75.98033779859543,164.5027483701706,38.394567504525185
32,34.67599566280842,66.9605045542121,95.33947944641113,62.66272792220116,41.528917729854584,63.542146280407906,148.16788411140442,35.55366736650467
33,41.87170299887657,53.395605102181435,90.08722022175789,59.603925198316574,39.5227018147707,62.83642242848873,142.84998869895935,34.71323110163212
34,34.62901285290718,62.067977257072926,97.20431250333786,61.55187454819679,34.2324298992753,70.67520566284657,152.43576234579086,36.57083675265312
35,33.488608203828335,70.74631284922361,101.04472014307976,64.31292572617531,34.40128143131733,73.74176982045174,160.33704483509064,36.57070702314377
36,34.356544122099876,64.46325946599245,95.61883783340454,61.797328799963,33.2035154402256,72.89852441102266,154.42418146133423,35.94113823771477
37,35.95549840480089,65.71235710382462,95.90078416466713,60.590061634778976,31.60803086310625,75.70733622461557,152.5550719499588,35.46726332604885
38,36.25155134499073,63.51344425231218,98.73219045996666,62.07960286736488,32.20188860595226,76.34664981812239,156.46422696113586,36.70237545669079
39,36.89331664144993,57.37985096871853,90.25488528609276,58.764634758234024,32.75580919533968,74.34879060834646,147.80817407369614,34.58784946799278
40,34.87511505186558,63.730039551854134,90.79619380831718,58.53358982503414,42.7710584923625,65.1097027733922,140.48944014310837,33.64216724038124
41,34.79017025232315,64.68859898298979,91.16033565998077,57.59662663936615,35.82153286039829,60.10267747938633,137.87018424272537,32.948231905698776
42,32.03304770588875,68.0419213399291,97.84157395362854,60.365852653980255,32.36920586228371,76.2272425442934,152.2202912569046,34.61936458945274
43,35.1039904654026,65.9926595389843,94.256378531456,59.92583665251732,32.02359279990196,74.40536968410015,150.40199673175812,34.41947691142559
44,35.38026486337185,62.64192371070385,89.11611658334732,55.682457119226456,35.84222139418125,67.54887252300978,138.03022402524948,32.751143127679825
45,33.12406189739704,67.29049178957939,90.7780042886734,57.9494304805994,33.43329731374979,74.1327777504921,143.56808257102966,33.4393125474453
46,36.38155324012041,63.96814223378897,87.8183306157589,55.39686630666256,32.020314894616604,73.72763676941395,140.51842612028122,32.74960492551327
47,32.471610859036446,62.992019437253475,90.72932144999504,56.349351689219475,33.071522906422615,74.34769840538502,143.370410323143,33.40551781654358
48,33.14689443260431,68.29415757209063,87.32579737901688,54.534534096717834,33.2265959829092,72.0435228087008,136.94930201768875,31.936356842517853
49,30.747469000518322,72.2701642550528,91.73993134498596,58.082161992788315,30.90573151409626,75.87740730494261,144.60375773906708,33.018247202038765
50,40.99662972986698,75.28745624423027,84.7675875723362,53.4844671189785,48.47776207327843,58.29377329349518,126.4145040512085,30.07706841826439
51,34.88811330497265,53.3344444707036,79.97361752390862,51.24483636021614,39.307868257164955,52.494463354349136,121.81680917739868,30.023360654711723
52,30.932397574186325,67.29541072249413,89.0707545876503,55.31449784338474,32.583838023245335,71.95680095255375,137.81815266609192,32.238109812140465
53,34.460515543818474,64.58658424019814,88.15276011824608,54.88287726044655,31.80761743336916,75.25577331334352,141.05201297998428,32.01339168846607
54,44.84308643639088,59.86090303212404,80.20774972438812,51.8609217107296,32.9450748860836,70.62137355655432,131.74320822954178,31.136713415384293
55,41.95842184126377,44.36501254141331,73.26136666536331,49.3822817504406,32.08565045148134,73.3788824044168,128.67918050289154,30.02762360870838
56,41.83288235962391,45.79469360411167,72.20925402641296,47.90683686733246,32.67215622216463,74.05426992475986,126.45323306322098,29.828680761158466
57,41.79623354971409,47.82954107224941,76.40800726413727,48.94805261492729,30.416012845933437,74.98907782137394,130.54970502853394,30.985204994678497
58,39.71277438104153,51.15542375296354,74.64750957489014,48.08213706314564,31.220350429415703,77.33125648647547,126.14540737867355,29.695884689688683
59,35.64370261132717,61.417445451021194,78.73918849229813,50.34453009068966,31.059452280402184,75.73563537746668,128.76957750320435,29.445625707507133
60,34.17644000053406,62.92204301431775,84.10488653182983,52.6378376185894,28.84305962920189,79.96721976995468,139.37769258022308,30.783660992980003
61,34.88976565003395,64.76560101658106,83.70034056901932,51.12743304669857,32.53276668488979,78.1059400998056,132.18395900726318,30.262626752257347
62,30.853118859231472,69.39944285899401,82.91327461600304,50.480933994054794,31.894753508269787,72.54411312937737,129.4613916873932,29.854522347450256
63,34.00844223797321,67.31654366105795,84.69740012288094,50.600830540061,28.156781367957592,81.61459924280643,133.04253542423248,30.91250592470169
64,31.30853719264269,65.78894678503275,81.27585595846176,50.152210265398026,29.45132753998041,78.4827655851841,130.25403839349747,29.712699994444847
65,29.765453904867172,73.47352383285761,87.41979122161865,53.10798063874245,29.262019723653793,82.3132871389389,140.0472667813301,31.126783192157745
66,29.92674135416746,68.96603383868933,82.18421337008476,49.98739430308342,36.85210530459881,72.20360146462917,127.02031207084656,29.559417232871056
67,30.560634791851044,69.35115903615952,80.39236718416214,49.141292840242386,31.304570078849792,69.73718602582812,124.67322117090225,28.71802045404911
68,37.418286710977554,72.09100268781185,81.80228659510612,50.23903715610504,44.345443561673164,82.75959273427725,123.62836474180222,28.98848843574524
69,29.297162294387817,69.1794895529747,76.27979362010956,48.21569490432739,41.46483953297138,44.980587869882584,111.26910853385925,26.739546224474907
70,30.609530992805958,68.71153279393911,78.4944859445095,48.28300875425339,41.250088810920715,48.350341096520424,111.72663241624832,27.428069286048412
71,28.628527969121933,69.77272470295429,78.39048221707344,48.779885068535805,39.1913295686245,57.31675727665424,116.00014853477478,27.257870621979237
72,26.85270667821169,78.36273474246264,104.92235445976257,57.7503083050251,26.201730452477932,85.61647778004408,154.98201620578766,37.51876603066921
73,33.727722607553005,75.41434279084206,87.00333887338638,50.908047169446945,30.605632707476616,85.75508807599545,135.47443228960037,31.271697267889977
74,27.143063835799694,72.48027318716049,81.83302164077759,48.2214592397213,28.82784678786993,75.39963056892157,123.16551065444946,28.833391278982162
75,27.84974204748869,73.49296774715185,82.47477242350578,47.546256095170975,31.163645409047604,76.91714505851269,124.25158333778381,30.001586139202118
76,28.550423718988895,72.8544851616025,80.65484192967415,47.74406109750271,28.034767419099808,76.66523249447346,119.59181946516037,28.543607264757156
77,28.303662598133087,74.4084045663476,79.41529449820518,47.10588854551315,28.795903630554676,76.55885590612888,120.55780571699142,28.210836850106716
78,31.81275872886181,72.74839881435037,81.8977085351944,47.57633437216282,27.790675692260265,81.99274129420519,124.74741399288177,29.092512384057045
79,26.57440961152315,74.99448339641094,81.35993683338165,47.789193853735924,30.65673828870058,81.0884460657835,125.94839996099472,28.827857121825218
80,28.888611890375614,72.43593188375235,79.96266305446625,47.55133044719696,26.955515928566456,79.84230421483517,124.92003339529037,28.113332241773605
81,26.95263383537531,75.71872952580452,80.26104980707169,47.570070043206215,29.064530298113823,81.64932388812304,125.02179872989655,28.20332331955433
82,27.61926556378603,75.64769210666418,79.17415687441826,46.783312767744064,27.894633881747723,82.10899080336094,123.99476325511932,28.025762669742107
83,28.75065226852894,73.5279063731432,79.89739310741425,46.11482633650303,27.967049568891525,79.5138061568141,121.48594784736633,28.341052383184433
84,27.972333200275898,73.3946271687746,77.33664798736572,45.93941405415535,34.15797418355942,74.66734917461872,119.11389994621277,27.44644258916378
85,45.48164767026901,84.35412337630987,78.60523563623428,46.274283573031425,26.82404862344265,80.97526224702597,122.30685847997665,27.901878356933594
86,42.383178412914276,45.16614352166653,68.34859463572502,43.559690207242966,28.89911623299122,79.9188620224595,118.44171971082687,27.49975959956646
87,41.8096684217453,45.068549901247025,66.53516772389412,42.37564857304096,26.647605448961258,81.68689768016338,118.11942625045776,27.31590809673071
88,41.08004319667816,45.601171776652336,65.94397130608559,41.69513875246048,27.03443966060877,81.95016595721245,116.38505810499191,26.702859602868557
89,35.98362372815609,50.9970787614584,70.0227683186531,42.397708132863045,28.378525994718075,80.2523868009448,115.3686552643776,26.800467155873775
90,39.34812630712986,54.6099478751421,71.6259703040123,43.001609086990356,26.440695635974407,82.84148113429546,117.40666425228119,27.059273660182953
91,30.63414242863655,62.29756101965904,72.7576377093792,43.3136585354805,28.404365457594395,82.49405731260777,117.4457848072052,26.60715278983116
92,28.935337841510773,70.64509090781212,82.49453374743462,46.97737419605255,84.92304403334856,121.7787024602294,130.15468019247055,30.882667064666748
93,29.962816007435322,70.55587674677372,73.82426318526268,44.57949148118496,42.09737482666969,44.506369441747665,106.19415420293808,26.000056877732277
94,26.123864740133286,70.73571503907442,72.37336772680283,43.60130000114441,41.75962445139885,44.05690236389637,100.95187109708786,24.693295925855637
95,29.37706683576107,70.6872790530324,70.85011199116707,43.009583950042725,41.7798487842083,44.13127554953098,97.23185831308365,24.239076986908913
96,28.601710684597492,70.21110704541206,72.52911153435707,43.06448291242123,43.02839179337025,45.20047791302204,97.18644365668297,24.555239267647266
97,29.771230287849903,68.24213197827339,71.44884070754051,42.13296529650688,43.262213319540024,45.472965106368065,95.464684009552,24.1551426127553
98,118.07936500012875,128.79810139536858,78.13916629552841,50.57128271460533,43.68057681620121,47.47224859893322,110.06184229254723,25.97595463693142
99,42.654649555683136,43.73155336081982,59.188698053359985,40.45699626207352,42.908871710300446,45.95258888602257,92.17319878935814,23.42049591988325
100,42.32073278725147,43.65273067355156,56.779021471738815,38.631167978048325,44.0264722853899,47.08567479252815,88.6357578933239,23.135306984186172
